Unnamed: 0,Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
10245,14,9,Female,Black,3,SomeCollege,Public,Rural,80.58804329497376,76.25979701393058,60.12801611476303,3.16250460693059,0.8608610335727704,1.083003033083541,1,0,0,0,0,4,1
211456,17,12,Male,Hispanic,3,HS,Public,Town,62.872760176519314,69.6146323214039,68.02337297474834,2.608744867571916,0.8518495307391559,0.7252710724873226,1,1,0,0,0,5,2
22249,15,10,Female,Hispanic,1,SomeCollege,Private,City,94.05812371157393,78.63749003225698,76.81526967051272,3.47775865121408,0.9466187609736142,1.3486231713541388,1,1,0,1,0,3,1
62709,18,12,Female,White,1,Bachelors+,Public,City,73.38545014683206,62.87769525710996,69.43306172199134,2.1387123875256666,0.8336977644384307,0.4123576167181084,0,1,1,0,0,3,5
82661,15,10,Male,White,4,Bachelors+,Public,Rural,68.03793548779193,62.182650215379006,69.37474901967825,2.63565718226547,0.8806584752363624,0.4150925901847189,1,1,0,1,0,4,2
45255,14,9,Male,Black,3,SomeCollege,Public,Rural,58.23674309864112,49.23699689544145,64.32188777883363,1.8993304986386588,0.7927188919579626,0.8956412373232465,1,0,0,0,0,4,3
134910,16,11,Female,White,4,Bachelors+,Public,Town,80.18153904487764,74.97786153370134,92.67338028660576,2.8434336254248764,0.9596401087427276,1.1563155684409758,1,0,0,1,0,2,1
225548,17,12,Female,Hispanic,4,HS,Public,City,67.33143602614031,76.78026057885842,73.92072549479973,2.860400276450365,0.9285416591425968,0.9101916234146228,1,0,0,1,0,4,2
145732,17,12,Female,Two-or-more,1,<HS,Public,Rural,70.60631341986692,85.43618337170639,76.25025887162121,2.993798116295403,0.8963670331351806,1.3173573512187409,0,1,1,0,0,4,4
181077,15,10,Female,White,4,SomeCollege,Public,Rural,71.89141130262738,73.54402734667165,74.40422999931235,2.848566293678032,0.8763658325023299,1.4941655764534725,1,1,0,0,0,5,2
191205,16,11,Female,Hispanic,4,SomeCollege,Public,Town,85.99138529259665,80.46055408011247,70.7607872016564,3.0437370731589515,0.8838487751867237,1.20133350789874,1,0,0,0,1,2,2
195011,14,9,Male,Hispanic,1,HS,Public,Suburban,87.38320841040384,75.15359253178303,79.43203555530305,2.9024401508711266,0.9132563530423802,1.447216612941865,1,0,0,0,0,2,2
238865,17,12,Female,Hispanic,2,SomeCollege,Public,Suburban,75.86253551301354,56.16668286057288,64.68674829224025,2.8569971904729354,0.8548873528090349,0.6055295237042712,1,1,0,0,0,3,4
189386,18,12,Male,Black,3,SomeCollege,Public,Town,74.91923323396196,76.64841407652106,75.91659515391818,2.754387920261693,0.931425764046946,0.9861152068325748,1,1,0,1,1,4,2
110408,14,9,Male,Hispanic,4,Bachelors+,Public,Suburban,75.90470322919977,82.27719761367803,75.84583843462157,3.429799380823411,0.9388200766443896,1.215762169246673,1,1,0,1,0,1,1
231581,18,12,Male,Black,4,SomeCollege,Public,City,81.23545227116229,78.39428203414239,83.40396345117303,3.2211842353344458,0.9255468844979114,1.027527663385606,1,1,0,0,1,2,2
182322,15,10,Male,Hispanic,4,SomeCollege,Public,Suburban,65.46539628442116,62.26823333759271,54.03685256799383,2.608536678752952,0.8361020176355377,0.1307107234138858,1,1,0,1,0,3,2
133080,18,12,Female,Hispanic,4,Bachelors+,Public,Suburban,53.41817108809517,48.15714082071101,61.82820645954491,1.9741565827549727,0.7842996330029004,0.5671222986428566,1,1,0,1,1,3,1
126495,16,11,Female,Hispanic,1,HS,Public,Suburban,86.33292076208612,65.24685835604896,87.1214088254272,3.4394966952825743,0.9343300040335688,0.9726800635745604,1,1,1,0,0,4,1
211710,15,10,Male,White,4,Bachelors+,Public,Suburban,65.76950423572389,59.31815210927695,62.630737698062845,2.1814471459429177,0.8475205386439061,1.1751399742982542,1,0,0,0,0,3,3
57552,15,10,Male,Hispanic,2,HS,Public,City,45.443537983589536,51.881982513331,52.60912846104348,2.5997819855949413,0.7746263358228384,0.516826332290986,1,1,0,1,0,2,1
113147,14,9,Female,White,1,SomeCollege,Private,Suburban,65.20378641910114,58.865556529277896,59.28676476066446,2.5450356665434737,0.8606364563417789,0.749106993190813,1,1,0,0,0,2,2
50315,15,10,Male,Black,4,HS,Public,Rural,78.49749797862349,65.47837808748085,74.38903890950891,2.6691224998655323,0.9427693230053612,0.7660392891704408,1,0,1,1,0,2,2
228511,15,10,Female,Hispanic,4,HS,Public,Suburban,94.94759923606992,90.79479548639284,86.91417712911002,3.7442906065597215,0.994213512535999,1.611018912918298,1,1,0,0,0,3,3
151217,17,12,Female,White,2,SomeCollege,Public,Rural,91.04475359584816,92.66977373094365,81.57750518840162,3.374992513885199,1.0,1.039017052615972,1,1,1,1,0,3,2
196885,17,12,Male,Two-or-more,2,SomeCollege,Public,City,85.31269405565432,86.37877669137573,75.98588183902801,3.526409519634596,0.959595994566574,1.4070121098033546,0,0,0,1,0,3,2
172650,18,12,Female,White,3,SomeCollege,Public,Suburban,77.18511014057286,73.99869900021879,67.49903410814176,3.044443545761787,0.8808036445165182,0.6879887498450609,1,1,1,0,1,3,2
224603,14,9,Female,Hispanic,3,SomeCollege,Public,Town,72.20011472398345,71.748751806076,64.50581398686562,2.816886709392328,0.8721943641068383,0.9807278569200576,1,1,0,0,0,3,3
70329,14,9,Female,Two-or-more,4,Bachelors+,Public,City,83.33165415039731,84.98342037581983,86.14768866881406,3.3881447125132893,0.9959308103407696,0.803581707336731,1,0,0,1,0,2,3
94901,18,12,Female,White,1,SomeCollege,Public,Suburban,75.11743958436571,92.583440145234,76.75405487794886,3.2077193049644865,0.936981403202987,0.8819176222098599,0,0,0,1,0,3,4
30003,14,9,Female,Other,1,SomeCollege,Private,Town,75.08397171058652,70.55788359625808,64.21661467010077,3.223198496748433,0.9069661603648916,1.137356094973265,1,0,0,1,0,4,3
96499,14,9,Male,White,3,HS,Private,Suburban,86.75277599461644,85.49127505393565,76.30764653722234,3.484089899894901,0.945341727345122,0.8268179076952114,1,1,0,1,0,3,2
204756,18,12,Female,Hispanic,4,HS,Private,City,91.5288392714446,90.36771459589544,89.62870569195283,4.0,0.9542039109796744,1.433747075849669,1,1,0,0,1,5,2
218935,14,9,Female,White,4,HS,Private,Town,75.45311527484444,77.2579832753187,71.9758609519765,3.214564987378778,0.9098814709056484,1.1921961128289909,1,0,1,1,0,3,2
23317,14,9,Female,Hispanic,4,SomeCollege,Private,Suburban,75.03307266871737,73.78705779126564,75.18107558130431,2.7533742927419445,0.8900928520526236,1.2526895062476333,1,1,0,0,0,2,2
157715,18,12,Male,Other,2,<HS,Public,Suburban,79.00305926423202,78.49739694552235,77.43416694972596,2.9325491645996764,0.9141708672664932,0.9481609178869608,1,1,0,0,1,3,4
130227,18,12,Male,White,1,HS,Public,Suburban,80.42383849597292,90.90860579793784,74.56967481782912,3.480024125836293,0.9405132105732468,1.43285310235897,1,1,0,1,1,4,2
139843,15,10,Female,Black,3,HS,Public,City,68.93992955524926,71.15415587524723,74.1439728771699,2.854096299257648,0.8684923375246891,1.2761872636001588,1,0,0,0,0,3,3
214573,17,12,Female,White,3,Bachelors+,Public,Suburban,91.57033034544382,80.2043294810114,92.38962376065518,3.4701350960498742,0.9633288267037388,1.5857332135511435,1,0,1,1,0,4,4
231525,15,10,Female,White,2,HS,Public,Suburban,67.1165775367546,63.25962633891016,68.00198967344173,2.6327759646513496,0.839521520128211,1.0988441390857189,1,1,0,1,0,3,2
131080,17,12,Female,White,1,<HS,Public,City,76.85445048222421,76.09068536640727,77.86838120692371,3.219593778758525,0.919687778344937,1.3603268060500449,1,0,0,0,0,1,2
52674,18,12,Male,Black,4,<HS,Public,City,79.2494998016718,83.68847639105373,79.75370015054365,3.333384054605388,0.9407496716530508,0.6564791915933335,1,1,0,0,0,2,1
102045,17,12,Male,Hispanic,3,SomeCollege,Private,City,71.55687647883248,83.00481939449904,68.238543231364,3.5254456624200827,0.9010426938538628,1.0355091920707038,0,0,0,1,1,3,4
168997,18,12,Female,Two-or-more,2,SomeCollege,Public,Rural,74.25874366614268,68.57317183589674,67.18825245305398,2.700855134074016,0.8873462813119853,0.614328974409794,1,1,0,0,0,3,2
181958,14,9,Male,Asian,2,<HS,Public,Suburban,80.30432683269159,73.45793199044533,77.40995307624308,2.831383093168972,0.9328044085476422,0.8819909144208515,1,0,1,0,0,3,3
106184,17,12,Male,White,4,SomeCollege,Public,City,80.69230705143325,90.24644561055804,85.377684783409,4.0,0.9617775204594426,1.0792410968077757,1,1,0,1,0,5,2
59197,17,12,Male,White,2,<HS,Public,Rural,75.27956367422786,75.11290096272106,66.63965987305005,2.971281294183383,0.8806374586073447,0.8787348979893154,1,1,0,0,0,2,3
190793,14,9,Female,White,1,<HS,Public,Suburban,84.93052991609903,77.50220345714011,74.21717717760596,2.7596888027234514,0.9519000574461268,0.9689471435106036,1,1,0,1,0,2,3
71823,17,12,Female,Two-or-more,2,HS,Public,Rural,80.9235091955258,74.57170127702227,69.98312372193524,2.8786990177864094,0.8754170036170235,1.3328200081540251,1,0,0,0,0,2,3
20280,18,12,Female,Black,2,SomeCollege,Public,City,82.00309872211952,72.73720437074437,79.6278331679592,3.14538253963756,0.8757383368168884,0.815351150863987,1,1,1,0,0,1,2
76052,17,12,Male,Other,2,HS,Public,Suburban,64.93665831792748,65.7312643225289,62.10270868982642,3.218172192887708,0.8319062183129983,0.8312141084688655,1,1,0,1,0,4,2
194047,18,12,Female,White,1,HS,Public,Suburban,75.90211362473308,75.37197375543793,74.87299065005494,2.7471175988874554,0.8877476208650231,1.4808367206508228,1,0,0,0,0,2,1
68850,15,10,Male,Hispanic,3,Bachelors+,Public,Suburban,57.82816580071105,69.7343868028531,59.85001007643138,2.4068509230913,0.8199140851219539,0.4990564574403047,0,0,0,1,1,2,2
83897,18,12,Male,Black,4,Bachelors+,Public,Suburban,62.914653894226575,68.74714024161534,62.558818432735904,2.3604159057957523,0.8786013861777061,0.6696297379550602,1,1,1,1,1,4,2
163131,14,9,Male,White,3,Bachelors+,Public,Suburban,79.98416820738174,83.0162279279372,90.59131533207544,3.644846887697626,0.9520861686721508,1.0012200971593146,1,0,0,1,0,4,2
168120,17,12,Male,White,1,<HS,Public,Town,86.31834096744613,84.07148629029723,75.60146519841747,3.671904690426566,0.9303060216510468,1.5768974824477806,0,1,0,0,1,3,2
189182,14,9,Female,White,3,HS,Public,Rural,71.66024673892194,74.62453481953844,72.2152167116399,2.9621081067995574,0.925587735841809,0.9258718207389812,1,0,0,1,1,2,3
176305,14,9,Female,White,2,HS,Public,Suburban,67.6382707769666,65.00924875235539,63.57186673663216,2.6200931967090115,0.8477211341402904,1.1655349015454386,0,0,0,1,0,4,2
109208,18,12,Female,Hispanic,2,HS,Public,Suburban,69.74700121094732,63.03383964493083,76.77913600941108,3.1948036780225006,0.8874646019614185,1.081991567185298,1,1,0,0,1,4,2
120995,14,9,Female,Two-or-more,1,SomeCollege,Public,Suburban,76.81366406083333,89.29736902109613,89.38122247281443,3.830654060728168,0.95933339872138,1.4917738563076954,0,1,0,1,1,3,2
67667,15,10,Male,Asian,2,<HS,Public,City,89.60429613553528,78.22871564906532,73.70777307998257,3.635454645563706,0.9505843414176296,1.381315348361324,0,0,0,0,0,1,2
93236,14,9,Female,Asian,4,Bachelors+,Public,City,68.34568328287091,73.47220699416826,60.158516555344654,2.7604894938351534,0.8426674514567627,0.6167889000804005,1,0,0,1,0,2,4
235101,15,10,Male,Hispanic,2,SomeCollege,Public,Suburban,87.66328293363254,82.80317148205448,84.43656092034153,3.174758746528544,0.9837459186715596,1.3181333854947632,1,1,0,1,0,5,3
36255,15,10,Female,White,4,HS,Public,Town,85.26442039037605,83.51288865573362,83.3327401127709,3.6406555683413537,0.9285050240049892,1.1281830389188154,1,0,0,1,0,1,1
17460,16,11,Female,Hispanic,1,<HS,Public,Town,78.80301396627252,64.1651158100092,83.44266902718194,2.5986481370309664,0.9299224393645455,0.7928878292769141,1,0,0,0,0,2,2
177593,18,12,Male,Hispanic,1,<HS,Public,City,79.2378854616629,90.08393269958732,75.36062757838395,3.045329143134907,0.9030405117056758,1.1533122912082163,0,0,1,0,0,3,5
73078,17,12,Female,Hispanic,4,HS,Private,City,76.97887751319932,84.06342716019805,68.85912604041171,3.122432182437241,0.8921469649231473,1.1543137363307172,1,0,0,1,0,5,2
174967,17,12,Male,White,3,SomeCollege,Public,Suburban,60.711710279372994,70.15434389592126,58.51545369969812,3.375967970902616,0.8669246970786091,0.7494292475038903,1,1,0,1,0,4,1
13864,15,10,Male,White,1,HS,Private,City,85.67450193925215,83.08696659374836,94.4208765717552,3.608160930948999,0.980654790541772,1.408559547086566,1,1,0,0,0,3,2
118766,18,12,Female,Hispanic,4,SomeCollege,Public,Suburban,81.71735246169118,71.00871115648363,86.48770669622961,3.095382456265623,0.958202136067178,0.8428967775411311,1,0,0,0,0,2,2
226977,17,12,Male,White,1,Bachelors+,Public,Suburban,76.24667493684643,74.28061884728073,67.77663187169124,3.137843783134147,0.8794305521214307,0.608291518351788,1,1,0,1,0,4,3
158796,14,9,Female,Two-or-more,4,Bachelors+,Private,Rural,78.16328677442986,76.03593113147676,74.59837456413,3.2304189119702564,0.9046866173808868,0.7724947286013826,1,0,0,1,0,3,2
168338,18,12,Female,White,3,<HS,Private,Suburban,71.02598688035332,75.28265717905462,89.35089076528534,3.0097284059307547,0.9371612090861792,1.4144857220341622,0,1,0,0,0,3,2
158369,15,10,Female,White,1,HS,Public,City,59.84784657788995,60.3394911381996,60.971027298056825,2.354495809498035,0.8517880887141082,0.5500712361270094,0,0,0,0,0,3,1
81161,14,9,Female,White,1,HS,Public,Rural,63.00382897464761,76.64288172216682,77.97238483997039,3.1770428738840786,0.8949734144639304,1.0192974362305411,1,1,0,0,0,4,2
40272,17,12,Female,White,1,SomeCollege,Public,City,83.02097778528578,85.41631000499078,75.72379179154743,3.609107578202938,0.9433803085391904,0.9927694147117284,1,0,0,0,0,3,2
129019,14,9,Female,Hispanic,4,SomeCollege,Public,Suburban,84.43376353620762,72.38935270776662,61.56122388314214,2.839494928690993,0.9037645412239612,0.8112305271311644,1,1,0,0,0,4,2
18563,14,9,Male,White,3,Bachelors+,Private,Rural,82.08664422571636,72.92858707575475,73.31910138598859,2.4434530272971937,0.9027156507335936,1.3534322636177192,0,0,1,0,0,3,2
173813,15,10,Female,Two-or-more,3,HS,Public,Suburban,83.58514149202281,100.0,91.31259943454734,4.0,0.970008890916154,1.622692681451289,1,0,0,0,1,4,2
191963,17,12,Female,Hispanic,1,<HS,Public,Suburban,67.15273906949187,84.91476030537129,78.94423176797551,2.600198362503897,0.877011517216405,1.1735674353377847,1,1,0,0,0,3,1
239198,17,12,Female,White,1,SomeCollege,Public,City,55.062531664983645,53.29414621915583,57.27873052174069,2.2606619477044694,0.8112660552512723,0.6388945569899278,0,0,0,0,1,2,2
58822,18,12,Female,White,1,HS,Public,Suburban,75.89153437460196,76.57087369737508,81.00910935845991,3.006132077342892,0.8891444928139802,1.3053555567046884,1,0,0,1,1,2,2
172470,16,11,Male,Hispanic,1,<HS,Public,Suburban,77.65256590185109,78.75362968313819,77.13823955824364,3.704175188479272,0.9005896384784264,0.9721208533426516,0,1,0,1,0,4,3
225806,16,11,Female,White,1,HS,Public,Suburban,68.65967166218782,65.11605340355366,69.19342136698475,3.351537112021484,0.8988934454051926,0.6430901291483121,0,0,0,1,0,2,1
109220,14,9,Male,Hispanic,4,Bachelors+,Private,Town,81.91958847759325,65.69036134070429,71.27534087251614,2.538010680288365,0.8818062638930225,0.7603400283598201,1,0,0,0,0,3,2
